"DR2TS060.Code.or.Value","DR2TS060.Value.Description","DR2TS060.Count","DR2TS060.Cumulative","DR2TS060.Skip.to.Item"
"0 to 2.904","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
