"DBQ223A.Code.or.Value","DBQ223A.Value.Description","DBQ223A.Count","DBQ223A.Cumulative","DBQ223A.Skip.to.Item"
"10","Whole or regular,",2920,2920,NA
"77","Refused",0,2920,NA
"99","Don't know",34,2954,NA
".","Missing",7017,9971,NA
