"DR1IVB6.Code.or.Value","DR1IVB6.Value.Description","DR1IVB6.Count","DR1IVB6.Cumulative","DR1IVB6.Skip.to.Item"
"0 to 16.122","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
