"LBXTCDLA.Code.or.Value","LBXTCDLA.Value.Description","LBXTCDLA.Count","LBXTCDLA.Cumulative","LBXTCDLA.Skip.to.Item"
"1.1 to 42.5","Range of Values",1898,1898,NA
".","Missing",376,2274,NA
