"INQ090.Code.or.Value","INQ090.Value.Description","INQ090.Count","INQ090.Cumulative","INQ090.Skip.to.Item"
"1","Yes",836,836,NA
"2","No",8744,9580,NA
"7","Refused",28,9608,NA
"9","Don't know",34,9642,NA
".","Missing",329,9971,NA
