"CVDR2DI.Code.or.Value","CVDR2DI.Value.Description","CVDR2DI.Count","CVDR2DI.Cumulative","CVDR2DI.Skip.to.Item"
"39 to 129","Range of Values",2816,2816,NA
".","Missing",1786,4602,NA
