"BMXHEAD.Code.or.Value","BMXHEAD.Value.Description","BMXHEAD.Count","BMXHEAD.Cumulative","BMXHEAD.Skip.to.Item"
"15.5 to 47.9","Range of Values",267,267,NA
".","Missing",9015,9282,NA
