"CBD725.Code.or.Value","CBD725.Value.Description","CBD725.Count","CBD725.Cumulative","CBD725.Skip.to.Item"
"1","Always",611,611,NA
"2","Most of the time",323,934,NA
"3","Sometimes",420,1354,NA
"4","Rarely",320,1674,NA
"5","Never",319,1993,NA
"6","Never buy these items",15,2008,NA
"7","Refused",0,2008,NA
"9","Don't know",5,2013,NA
".","Missing",856,2869,NA
