"MCQ160f.Code.or.Value","MCQ160f.Value.Description","MCQ160f.Count","MCQ160f.Cumulative","MCQ160f.Skip.to.Item"
"1","Yes",202,202,NA
"2","No",5562,5764,NA
"7","Refused",0,5764,NA
"9","Don't know",5,5769,NA
".","Missing",4001,9770,NA
