"DS1TMFAT.Code.or.Value","DS1TMFAT.Value.Description","DS1TMFAT.Count","DS1TMFAT.Cumulative","DS1TMFAT.Skip.to.Item"
"0 to 5","Range of Values",112,112,NA
".","Missing",9650,9762,NA
