"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"3335.4854584 to 182622.99354","Range of Values",2945,2945,NA
".","Missing",0,2945,NA
