"LBXT4.Code.or.Value","LBXT4.Value.Description","LBXT4.Count","LBXT4.Cumulative","LBXT4.Skip.to.Item"
"0.4 to 27","Range of Values",2345,2345,NA
".","Missing",202,2547,NA
