"SMD100LN.Code.or.Value","SMD100LN.Value.Description","SMD100LN.Count","SMD100LN.Cumulative","SMD100LN.Skip.to.Item"
"70 to 120","Range of Values",920,920,NA
".","Missing",3960,4880,NA
