"AIALANG.Code.or.Value","AIALANG.Value.Description","AIALANG.Count","AIALANG.Cumulative","AIALANG.Skip.to.Item"
"1","English",6907,6907,NA
"2","Spanish",827,7734,NA
".","Missing",2415,10149,NA
