"DSQTCALC.Code.or.Value","DSQTCALC.Value.Description","DSQTCALC.Count","DSQTCALC.Cumulative","DSQTCALC.Skip.to.Item"
"0.18 to 3750","Range of Values",2433,2433,NA
".","Missing",6821,9254,NA
