"LBXGTC.Code.or.Value","LBXGTC.Value.Description","LBXGTC.Count","LBXGTC.Cumulative","LBXGTC.Skip.to.Item"
"18 to 1977","Range of Values",8307,8307,NA
"8","Fill Value of Limit of Detection",1,8308,NA
".","Missing",954,9262,NA
