"BIXC304K.Code.or.Value","BIXC304K.Value.Description","BIXC304K.Count","BIXC304K.Cumulative","BIXC304K.Skip.to.Item"
"9.82 to 139.65","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
