"OHAPOS.Code.or.Value","OHAPOS.Value.Description","OHAPOS.Count","OHAPOS.Cumulative","OHAPOS.Skip.to.Item"
"1","Yes",6893,6893,NA
"2","No",113,7006,NA
".","Missing",1950,8956,NA
