"DRD370HQ.Code.or.Value","DRD370HQ.Value.Description","DRD370HQ.Count","DRD370HQ.Cumulative","DRD370HQ.Skip.to.Item"
"1 to 15","Range of Values",86,86,NA
".","Missing",9676,9762,NA
