"DS1ILZ.Code.or.Value","DS1ILZ.Value.Description","DS1ILZ.Count","DS1ILZ.Cumulative","DS1ILZ.Skip.to.Item"
"40 to 21000","Range of Values",796,796,NA
".","Missing",4927,5723,NA
