"FFQ0122C.Code.or.Value","FFQ0122C.Value.Description","FFQ0122C.Count","FFQ0122C.Cumulative","FFQ0122C.Skip.to.Item"
1,"Almost never or never",344,344,NA
2,"About 1/4 of the time",316,660,NA
3,"About 1/2 of the time",365,1025,NA
4,"About 3/4 of the time",351,1376,NA
5,"Almost always or always",4124,5500,NA
88,"Blank",512,6012,NA
99,"Error",1,6013,NA
