"LBAMMT1.Code.or.Value","LBAMMT1.Value.Description","LBAMMT1.Count","LBAMMT1.Cumulative","LBAMMT1.Skip.to.Item"
"Molecular type 1","Value was recorded",373,373,NA
"< blank >","Missing",9556,9929,NA
