"DSQTPFAT.Code.or.Value","DSQTPFAT.Value.Description","DSQTPFAT.Count","DSQTPFAT.Cumulative","DSQTPFAT.Skip.to.Item"
"0 to 20","Range of Values",294,294,NA
".","Missing",10243,10537,NA
