"URXUCS.Code.or.Value","URXUCS.Value.Description","URXUCS.Count","URXUCS.Cumulative","URXUCS.Skip.to.Item"
"0.205 to 27.2","Range of Values",2848,2848,NA
".","Missing",93,2941,NA
