"DR2IP225.Code.or.Value","DR2IP225.Value.Description","DR2IP225.Count","DR2IP225.Cumulative","DR2IP225.Skip.to.Item"
"0 to 1.176","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
