"PAXTSM.Code.or.Value","PAXTSM.Value.Description","PAXTSM.Count","PAXTSM.Cumulative","PAXTSM.Skip.to.Item"
"2 to 60","Range of Values",78126856,78126856,NA
".","Missing",0,78126856,NA
