"TYXP090.Code.or.Value","TYXP090.Value.Description","TYXP090.Count","TYXP090.Cumulative","TYXP090.Skip.to.Item"
"-249 to 97","Range of Values",8465,8465,NA
".","Missing",4,8469,NA
