"LBXMOPCT.Code.or.Value","LBXMOPCT.Value.Description","LBXMOPCT.Count","LBXMOPCT.Cumulative","LBXMOPCT.Skip.to.Item"
"0.7 to 44.5","Range of Values",8250,8250,NA
".","Missing",1057,9307,NA
