"DR1IS180.Code.or.Value","DR1IS180.Value.Description","DR1IS180.Count","DR1IS180.Cumulative","DR1IS180.Skip.to.Item"
"0 to 28.41","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
