"ORXH84.Code.or.Value","ORXH84.Value.Description","ORXH84.Count","ORXH84.Cumulative","ORXH84.Skip.to.Item"
"1","Positive",27,27,NA
"2","Negative",4820,4847,NA
"3","Not evaluated",455,5302,NA
".","Missing",0,5302,NA
