"DR2IATOA.Code.or.Value","DR2IATOA.Value.Description","DR2IATOA.Count","DR2IATOA.Cumulative","DR2IATOA.Skip.to.Item"
"0 to 49.613","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
