"LBDPFHSL.Code.or.Value","LBDPFHSL.Value.Description","LBDPFHSL.Count","LBDPFHSL.Cumulative","LBDPFHSL.Skip.to.Item"
"0","At or above the detection limit",1874,1874,NA
"1","Below lower detection limit",30,1904,NA
".","Missing",273,2177,NA
