"DRD370G.Code.or.Value","DRD370G.Value.Description","DRD370G.Count","DRD370G.Cumulative","DRD370G.Skip.to.Item"
"1","Yes",119,119,""
"2","No",5170,5289,"DRD370H"
".","Missing",4049,9338,""
