"DR1TLZ.Code.or.Value","DR1TLZ.Value.Description","DR1TLZ.Count","DR1TLZ.Cumulative","DR1TLZ.Skip.to.Item"
"0 to 79082","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
