"WHD080T.Code.or.Value","WHD080T.Value.Description","WHD080T.Count","WHD080T.Cumulative","WHD080T.Skip.to.Item"
"46","Ate less junk food or fast food",1335,1335,NA
".","Missing",4992,6327,NA
