"LBDF08LC.Code.or.Value","LBDF08LC.Value.Description","LBDF08LC.Count","LBDF08LC.Cumulative","LBDF08LC.Skip.to.Item"
"0","detectable result",1091,1091,NA
"1","below detectable limit",128,1219,NA
".","Missing",1328,2547,NA
