"DS1TIRON.Code.or.Value","DS1TIRON.Value.Description","DS1TIRON.Count","DS1TIRON.Cumulative","DS1TIRON.Skip.to.Item"
"0 to 260","Range of Values",1082,1082,NA
".","Missing",9171,10253,NA
