"OHQ560Q.Code.or.Value","OHQ560Q.Value.Description","OHQ560Q.Count","OHQ560Q.Cumulative","OHQ560Q.Skip.to.Item"
"1 to 61","Range of Values",2595,2595,""
"7777","Refused",0,2595,"OHQ566"
"9999","Don't know",1,2596,"OHQ566"
".","Missing",6979,9575,""
