"SSGI1C2.Code.or.Value","SSGI1C2.Value.Description","SSGI1C2.Count","SSGI1C2.Cumulative","SSGI1C2.Skip.to.Item"
"0 to 100000","Range of Values",916,916,NA
".","Missing",30,946,NA
