"PUQ110.Code.or.Value","PUQ110.Value.Description","PUQ110.Count","PUQ110.Cumulative","PUQ110.Skip.to.Item"
"1","Yes",381,381,NA
"2","No",7041,7422,NA
"7","Refused",1,7423,NA
"9","Don't know",77,7500,NA
".","Missing",521,8021,NA
