"DRD370M.Code.or.Value","DRD370M.Value.Description","DRD370M.Count","DRD370M.Cumulative","DRD370M.Skip.to.Item"
"1","Yes",1745,1745,""
"2","No",4204,5949,"DRD370N"
".","Missing",4304,10253,""
