"AUXR6KL.Code.or.Value","AUXR6KL.Value.Description","AUXR6KL.Count","AUXR6KL.Cumulative","AUXR6KL.Skip.to.Item"
"40 to 95","Range of Values",6,6,NA
"666","No response",1,7,NA
"888","Could not obtain",0,7,NA
".","Missing",3124,3131,NA
