"LBDGHCLC.Code.or.Value","LBDGHCLC.Value.Description","LBDGHCLC.Count","LBDGHCLC.Cumulative","LBDGHCLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",264,264,NA
".","Missing",0,264,NA
