"DSQTLZ.Code.or.Value","DSQTLZ.Value.Description","DSQTLZ.Count","DSQTLZ.Cumulative","DSQTLZ.Skip.to.Item"
"4.6 to 83200","Range of Values",641,641,NA
".","Missing",9330,9971,NA
