"LBDTRSI.Code.or.Value","LBDTRSI.Value.Description","LBDTRSI.Count","LBDTRSI.Cumulative","LBDTRSI.Skip.to.Item"
"0.203 to 17.635","Range of Values",2990,2990,NA
".","Missing",249,3239,NA
