"DXXINBMD.Code.or.Value","DXXINBMD.Value.Description","DXXINBMD.Count","DXXINBMD.Cumulative","DXXINBMD.Skip.to.Item"
"0.394 to 1.968","Range of Values",6963,6963,NA
".","Missing",1222,8185,NA
