"RFXC036.Code.or.Value","RFXC036.Value.Description","RFXC036.Count","RFXC036.Cumulative","RFXC036.Skip.to.Item"
"-8.214 to 5.323","Range of Values",33704,33704,NA
".","Missing",17,33721,NA
