"DS2TFA.Code.or.Value","DS2TFA.Value.Description","DS2TFA.Count","DS2TFA.Cumulative","DS2TFA.Skip.to.Item"
"6.3 to 4000","Range of Values",1895,1895,NA
".","Missing",8358,10253,NA
