"DS2IVB6.Code.or.Value","DS2IVB6.Value.Description","DS2IVB6.Count","DS2IVB6.Cumulative","DS2IVB6.Skip.to.Item"
"0.02 to 300","Range of Values",1789,1789,NA
".","Missing",3737,5526,NA
