"DRD350FQ.Code.or.Value","DRD350FQ.Value.Description","DRD350FQ.Count","DRD350FQ.Cumulative","DRD350FQ.Skip.to.Item"
"1 to 7","Range of Values",83,83,NA
".","Missing",10394,10477,NA
