"DR1TCALC.Code.or.Value","DR1TCALC.Value.Description","DR1TCALC.Count","DR1TCALC.Cumulative","DR1TCALC.Skip.to.Item"
"0 to 6377","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
