"URXUSB.Code.or.Value","URXUSB.Value.Description","URXUSB.Count","URXUSB.Cumulative","URXUSB.Skip.to.Item"
"0.016 to 14.291","Range of Values",3061,3061,NA
".","Missing",218,3279,NA
