"DSQTLZ.Code.or.Value","DSQTLZ.Value.Description","DSQTLZ.Count","DSQTLZ.Cumulative","DSQTLZ.Skip.to.Item"
"2 to 95250","Range of Values",561,561,NA
".","Missing",9195,9756,NA
