"DR1TSODI.Code.or.Value","DR1TSODI.Value.Description","DR1TSODI.Count","DR1TSODI.Cumulative","DR1TSODI.Skip.to.Item"
"0 to 21248","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
