"AUQ020C.Code.or.Value","AUQ020C.Value.Description","AUQ020C.Count","AUQ020C.Cumulative","AUQ020C.Skip.to.Item"
"1","Yes (checkbox checked)",14,14,NA
"2","No (checkbox unchecked)",460,474,NA
"9","Don't know",3,477,NA
".","Missing",4023,4500,NA
