"NHCODE.Code.or.Value","NHCODE.Value.Description","NHCODE.Count","NHCODE.Cumulative","NHCODE.Skip.to.Item"
"Standard generic ingredient code","Value was recorded",11447,11447,NA
"< blank >","Missing",6971,18418,NA
