"DR2IPOTA.Code.or.Value","DR2IPOTA.Value.Description","DR2IPOTA.Count","DR2IPOTA.Cumulative","DR2IPOTA.Skip.to.Item"
"0 to 7312","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
