"LBDEPAHL.Code.or.Value","LBDEPAHL.Value.Description","LBDEPAHL.Count","LBDEPAHL.Cumulative","LBDEPAHL.Skip.to.Item"
"0","At or above the detection limit",132,132,NA
"1","Below lower detection limit",1988,2120,NA
".","Missing",203,2323,NA
