"CFDAST.Code.or.Value","CFDAST.Value.Description","CFDAST.Count","CFDAST.Cumulative","CFDAST.Skip.to.Item"
"1 to 40","Range of Values",1449,1449,NA
".","Missing",238,1687,NA
