"DR2TIRON.Code.or.Value","DR2TIRON.Value.Description","DR2TIRON.Count","DR2TIRON.Cumulative","DR2TIRON.Skip.to.Item"
"0 to 207.07","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
