"DR1TFOLA.Code.or.Value","DR1TFOLA.Value.Description","DR1TFOLA.Count","DR1TFOLA.Cumulative","DR1TFOLA.Skip.to.Item"
"0 to 4192","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
