"RFXC004.Code.or.Value","RFXC004.Value.Description","RFXC004.Count","RFXC004.Cumulative","RFXC004.Skip.to.Item"
"-4.318 to 3.44","Range of Values",33721,33721,NA
".","Missing",0,33721,NA
