"VTQ260A.Code.or.Value","VTQ260A.Value.Description","VTQ260A.Count","VTQ260A.Cumulative","VTQ260A.Skip.to.Item"
"1","Yes",278,278,NA
"2","No",2963,3241,NA
"7","Refused",0,3241,NA
"9","Don't know",0,3241,NA
".","Missing",304,3545,NA
