"DS2IVC.Code.or.Value","DS2IVC.Value.Description","DS2IVC.Count","DS2IVC.Cumulative","DS2IVC.Skip.to.Item"
"1.98 to 10000","Range of Values",1952,1952,NA
".","Missing",3824,5776,NA
